ISO_A3	rank	country	1990	2000	2010	2011	2012	2013	2014	2015
NOR	1	Norway	0.849	0.917	0.939	0.941	0.942	0.945	0.948	0.949
AUS	2	Australia	0.866	0.899	0.927	0.93	0.933	0.936	0.937	0.939
CHE	2	Switzerland	0.831	0.888	0.932	0.932	0.934	0.936	0.938	0.939
DEU	4	Germany	0.801	0.86	0.912	0.916	0.919	0.92	0.924	0.926
DNK	5	Denmark	0.799	0.862	0.91	0.922	0.924	0.926	0.923	0.925
SGP	5	Singapore	0.718	0.82	0.911	0.917	0.92	0.922	0.924	0.925
NLD	7	Netherlands	0.83	0.878	0.911	0.921	0.922	0.923	0.923	0.924
IRL	8	Ireland	0.762	0.857	0.909	0.895	0.902	0.91	0.92	0.923
ISL	9	Iceland	0.797	0.854	0.894	0.901	0.907	0.915	0.919	0.921
CAN	10	Canada	0.849	0.867	0.903	0.907	0.909	0.912	0.919	0.92
USA	10	United States	0.86	0.884	0.91	0.913	0.915	0.916	0.918	0.92
HKG	12	"Hong Kong, China (SAR)"	0.781	0.825	0.898	0.905	0.907	0.913	0.916	0.917
NZL	13	New Zealand	0.818	0.868	0.901	0.904	0.908	0.91	0.913	0.915
SWE	14	Sweden	0.815	0.877	0.901	0.903	0.904	0.906	0.909	0.913
LIE	15	Liechtenstein	..	0.862	0.904	0.909	0.908	0.912	0.911	0.912
GBR	16	United Kingdom	0.775	0.866	0.902	0.898	0.899	0.904	0.908	0.909
JPN	17	Japan	0.814	0.856	0.884	0.889	0.894	0.899	0.902	0.903
KOR	18	Korea (Republic of)	0.731	0.82	0.884	0.889	0.891	0.896	0.899	0.901
ISR	19	Israel	0.785	0.85	0.883	0.889	0.891	0.895	0.898	0.899
LUX	20	Luxembourg	0.782	0.854	0.894	0.892	0.892	0.892	0.896	0.898
FRA	21	France	0.779	0.849	0.882	0.885	0.887	0.89	0.894	0.897
BEL	22	Belgium	0.805	0.873	0.884	0.886	0.889	0.89	0.895	0.896
FIN	23	Finland	0.783	0.856	0.878	0.884	0.887	0.89	0.893	0.895
AUT	24	Austria	0.794	0.837	0.88	0.884	0.887	0.892	0.892	0.893
SVN	25	Slovenia	0.767	0.824	0.876	0.877	0.878	0.888	0.888	0.89
ITA	26	Italy	0.768	0.828	0.872	0.877	0.876	0.877	0.881	0.887
ESP	27	Spain	0.755	0.825	0.867	0.871	0.874	0.877	0.882	0.884
CZE	28	Czech Republic	0.761	0.821	0.861	0.864	0.865	0.871	0.875	0.878
GRC	29	Greece	0.76	0.801	0.86	0.858	0.86	0.862	0.865	0.866
BRN	30	Brunei Darussalam	0.782	0.819	0.846	0.852	0.86	0.863	0.864	0.865
EST	30	Estonia	0.728	0.781	0.838	0.85	0.856	0.86	0.863	0.865
AND	32	Andorra	..	..	0.819	0.819	0.843	0.85	0.857	0.858
CYP	33	Cyprus	0.733	0.8	0.847	0.85	0.849	0.85	0.854	0.856
MLT	33	Malta	0.736	0.783	0.826	0.821	0.828	0.847	0.853	0.856
QAT	33	Qatar	0.754	0.809	0.827	0.837	0.843	0.854	0.855	0.856
POL	36	Poland	0.712	0.784	0.829	0.834	0.838	0.85	0.852	0.855
LTU	37	Lithuania	0.731	0.757	0.826	0.83	0.834	0.841	0.846	0.848
CHL	38	Chile	0.7	0.761	0.82	0.826	0.831	0.841	0.845	0.847
SAU	38	Saudi Arabia	0.698	0.742	0.803	0.818	0.83	0.841	0.845	0.847
SVK	40	Slovakia	0.738	0.763	0.829	0.835	0.838	0.841	0.842	0.845
PRT	41	Portugal	0.711	0.782	0.818	0.824	0.827	0.837	0.841	0.843
ARE	42	United Arab Emirates	0.726	0.798	0.824	0.826	0.829	0.832	0.836	0.84
HUN	43	Hungary	0.703	0.769	0.821	0.823	0.824	0.834	0.834	0.836
LVA	44	Latvia	0.703	0.728	0.81	0.812	0.814	0.822	0.828	0.83
ARG	45	Argentina	0.705	0.771	0.816	0.822	0.823	0.825	0.826	0.827
HRV	45	Croatia	0.669	0.749	0.808	0.815	0.817	0.82	0.823	0.827
BHR	47	Bahrain	0.745	0.794	0.812	0.812	0.815	0.82	0.823	0.824
MNE	48	Montenegro	..	..	0.792	0.797	0.799	0.803	0.804	0.807
RUS	49	Russian Federation	0.733	0.72	0.785	0.792	0.799	0.803	0.805	0.804
ROU	50	Romania	0.7	0.708	0.798	0.797	0.794	0.797	0.798	0.802
KWT	51	Kuwait	0.713	0.786	0.792	0.794	0.796	0.787	0.799	0.8
BLR	52	Belarus	..	0.681	0.787	0.793	0.796	0.796	0.798	0.796
OMN	52	Oman	..	0.705	0.797	0.797	0.796	0.796	0.795	0.796
BRB	54	Barbados	0.714	0.75	0.78	0.785	0.792	0.793	0.794	0.795
URY	54	Uruguay	0.692	0.742	0.78	0.784	0.788	0.791	0.794	0.795
BGR	56	Bulgaria	0.7	0.713	0.775	0.778	0.781	0.787	0.792	0.794
KAZ	56	Kazakhstan	0.69	0.685	0.766	0.774	0.782	0.789	0.793	0.794
BHS	58	Bahamas	..	0.778	0.788	0.789	0.79	0.789	0.79	0.792
MYS	59	Malaysia	0.643	0.725	0.774	0.776	0.779	0.783	0.787	0.789
PLW	60	Palau	..	0.741	0.77	0.775	0.779	0.782	0.783	0.788
PAN	60	Panama	0.662	0.721	0.758	0.765	0.773	0.78	0.785	0.788
ATG	62	Antigua and Barbuda	..	..	0.782	0.778	0.781	0.782	0.784	0.786
SYC	63	Seychelles	..	0.714	0.744	0.755	0.762	0.766	0.781	0.782
MUS	64	Mauritius	0.62	0.673	0.748	0.756	0.765	0.769	0.779	0.781
TTO	65	Trinidad and Tobago	0.67	0.715	0.774	0.772	0.773	0.778	0.779	0.78
CRI	66	Costa Rica	0.653	0.708	0.752	0.758	0.762	0.768	0.775	0.776
SRB	66	Serbia	0.714	0.709	0.757	0.767	0.766	0.771	0.775	0.776
CUB	68	Cuba	0.676	0.686	0.78	0.778	0.773	0.772	0.772	0.775
IRN	69	Iran (Islamic Republic of)	0.572	0.666	0.745	0.755	0.769	0.77	0.774	0.774
GEO	70	Georgia	..	0.673	0.742	0.749	0.755	0.759	0.768	0.769
TUR	71	Turkey	0.576	0.653	0.737	0.75	0.754	0.759	0.764	0.767
VEN	71	Venezuela (Bolivarian Republic of)	0.634	0.672	0.756	0.767	0.77	0.771	0.769	0.767
LKA	73	Sri Lanka	0.626	0.686	0.746	0.752	0.757	0.76	0.764	0.766
KNA	74	Saint Kitts and Nevis	..	..	0.741	0.746	0.749	0.756	0.762	0.765
ALB	75	Albania	0.635	0.662	0.738	0.752	0.759	0.761	0.762	0.764
LBN	76	Lebanon	..	..	0.758	0.763	0.766	0.763	0.763	0.763
MEX	77	Mexico	0.648	0.7	0.745	0.748	0.753	0.754	0.758	0.762
AZE	78	Azerbaijan	..	0.642	0.741	0.742	0.745	0.752	0.758	0.759
BRA	79	Brazil	0.611	0.685	0.724	0.73	0.734	0.747	0.754	0.754
GRD	79	Grenada	..	..	0.741	0.744	0.745	0.749	0.751	0.754
