ISO_A3	Country	HDI rank	Human Development Index (HDI)	Life expectancy at birth	Expected years of schooling	Mean years of schooling	Gross national income (GNI) per capita	GNI per capita rank minus HDI rank
NOR	Norway	1	0.949	81.7	17.7	12.7	67,614	5
AUS	Australia	2	0.939	82.5	20.4	13.2	42,822	19
CHE	Switzerland	2	0.939	83.1	16.0	13.4	56,364	7
DEU	Germany	4	0.926	81.1	17.1	13.2	45,000	13
DNK	Denmark	5	0.925	80.4	19.2	12.7	44,519	13
SGP	Singapore	5	0.925	83.2	15.4	11.6	78,162	-3
NLD	Netherlands	7	0.924	81.7	18.1	11.9	46,326	8
IRL	Ireland	8	0.923	81.1	18.6	12.3	43,798	11
ISL	Iceland	9	0.921	82.7	19.0	12.2	37,065	20
CAN	Canada	10	0.920	82.2	16.3	13.1	42,582	12
USA	United States	10	0.920	79.2	16.5	13.2	53,245	1
HKG	Hong Kong, China (SAR)	12	0.917	84.2	15.7	11.6	54,265	-2
NZL	New Zealand	13	0.915	82.0	19.2	12.5	32,870	20
SWE	Sweden	14	0.913	82.3	16.1	12.3	46,251	2
LIE	Liechtenstein	15	0.912	80.2	14.6	12.4	75,065	-11
GBR	United Kingdom	16	0.909	80.8	16.3	13.3	37,931	10
JPN	Japan	17	0.903	83.7	15.3	12.5	37,268	10
KOR	Korea (Republic of)	18	0.901	82.1	16.6	12.2	34,541	12
ISR	Israel	19	0.899	82.6	16.0	12.8	31,215	16
LUX	Luxembourg	20	0.898	81.9	13.9	12.0	62,471	-12
FRA	France	21	0.897	82.4	16.3	11.6	38,085	4
BEL	Belgium	22	0.896	81.0	16.6	11.4	41,243	1
FIN	Finland	23	0.895	81.0	17.0	11.2	38,868	1
AUT	Austria	24	0.893	81.6	15.9	11.3	43,609	-4
SVN	Slovenia	25	0.890	80.6	17.3	12.1	28,664	13
ITA	Italy	26	0.887	83.3	16.3	10.9	33,573	6
ESP	Spain	27	0.884	82.8	17.7	9.8	32,779	7
CZE	Czech Republic	28	0.878	78.8	16.8	12.3	28,144	11
GRC	Greece	29	0.866	81.1	17.2	10.5	24,808	16
BRN	Brunei Darussalam	30	0.865	79.0	14.9	9.0	72,843	-25
EST	Estonia	30	0.865	77.0	16.5	12.5	26,362	12
AND	Andorra	32	0.858	81.5	13.5	10.3	47,979	-18
CYP	Cyprus	33	0.856	80.3	14.3	11.7	29,459	4
MLT	Malta	33	0.856	80.7	14.6	11.3	29,500	3
QAT	Qatar	33	0.856	78.3	13.4	9.8	129,916	-32
POL	Poland	36	0.855	77.6	16.4	11.9	24,117	11
LTU	Lithuania	37	0.848	73.5	16.5	12.7	26,006	7
CHL	Chile	38	0.847	82.0	16.3	9.9	21,665	16
SAU	Saudi Arabia	38	0.847	74.4	16.1	9.6	51,320	-26
